DummyID,Year,SurveyName,StatArea,NumQuads,NumPycno,PycnoDensity,BottomTime
1,2019,QC Strait 2019 Index Sites Survey,11,16,0,0,36
2,2019,QC Strait 2019 Index Sites Survey,11,16,0,0,57
3,2019,QC Strait 2019 Index Sites Survey,11,16,0,0,63
4,2019,QC Strait 2019 Index Sites Survey,11,16,0,0,65
5,2019,QC Strait 2019 Index Sites Survey,11,16,0,0,44
6,2019,QC Strait 2019 Index Sites Survey,11,16,0,0,56
7,2019,QC Strait 2019 Index Sites Survey,11,16,1,0.0625,59
8,2019,QC Strait 2019 Index Sites Survey,11,16,0,0,27
9,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,39
10,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,48
11,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,60
12,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,63
13,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,61
14,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,51
15,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,44
16,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,74
17,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,64
18,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,78
19,2019,QC Strait 2019 Index Sites Survey,12,16,1,0.0625,68
20,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,55
21,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,45
22,2019,QC Strait 2019 Index Sites Survey,12,16,1,0.0625,62
23,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,51
24,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,72
25,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,58
26,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,47
27,2019,QC Strait 2019 Index Sites Survey,12,16,1,0.0625,52
28,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,50
29,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,35
30,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,75
31,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,49
32,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,89
33,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,72
34,2019,QC Strait 2019 Index Sites Survey,12,16,0,0,47
35,2019,Georgia Basin 2019 Index Sites Survey,13,16,0,0,37
36,2019,Georgia Basin 2019 Index Sites Survey,13,16,0,0,36
37,2019,Georgia Basin 2019 Index Sites Survey,13,16,0,0,54
38,2019,Georgia Basin 2019 Index Sites Survey,13,16,9,0.5625,50
39,2019,Georgia Basin 2019 Index Sites Survey,14,16,0,0,42
40,2019,Georgia Basin 2019 Index Sites Survey,14,16,0,0,49
41,2019,Georgia Basin 2019 Index Sites Survey,14,16,0,0,63
42,2019,Georgia Basin 2019 Index Sites Survey,14,16,0,0,45
43,2019,Georgia Basin 2019 Index Sites Survey,14,16,0,0,36
44,2019,Georgia Basin 2019 Index Sites Survey,15,16,2,0.125,51
45,2019,Georgia Basin 2019 Index Sites Survey,15,16,0,0,40
46,2019,Georgia Basin 2019 Index Sites Survey,15,16,8,0.5,30
47,2019,Georgia Basin 2019 Index Sites Survey,15,16,10,0.625,47
48,2019,Georgia Basin 2019 Index Sites Survey,15,16,9,0.5625,48
49,2019,Georgia Basin 2019 Index Sites Survey,15,16,4,0.25,34
50,2019,Georgia Basin 2019 Index Sites Survey,15,16,1,0.0625,42
51,2019,Georgia Basin 2019 Index Sites Survey,15,12,0,0,28
52,2019,Georgia Basin 2019 Index Sites Survey,15,16,0,0,38
53,2019,Georgia Basin 2019 Index Sites Survey,15,16,1,0.0625,45
54,2019,Georgia Basin 2019 Index Sites Survey,16,16,0,0,52
55,2019,Georgia Basin 2019 Index Sites Survey,16,16,2,0.125,54
56,2019,Georgia Basin 2019 Index Sites Survey,16,16,0,0,47
57,2019,Georgia Basin 2019 Index Sites Survey,16,16,0,0,42
58,2019,Georgia Basin 2019 Index Sites Survey,16,16,1,0.0625,37
59,2019,Georgia Basin 2019 Index Sites Survey,16,16,5,0.3125,39
60,2019,Georgia Basin 2019 Index Sites Survey,16,16,1,0.0625,32
61,2019,Georgia Basin 2019 Index Sites Survey,16,16,4,0.25,52
62,2019,Georgia Basin 2019 Index Sites Survey,16,16,0,0,29
63,2019,Georgia Basin 2019 Index Sites Survey,19,16,0,0,48
64,2019,Georgia Basin 2019 Index Sites Survey,20,16,1,0.0625,47
65,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,62
66,2019,Georgia Basin 2019 Index Sites Survey,20,16,1,0.0625,63
67,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,70
68,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,52
69,2019,Georgia Basin 2019 Index Sites Survey,20,16,1,0.0625,40
70,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,62
71,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,50
72,2019,Georgia Basin 2019 Index Sites Survey,20,16,1,0.0625,48
73,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,50
74,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,54
75,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,34
76,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,46
77,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,65
78,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,53
79,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,60
80,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,54
81,2019,Georgia Basin 2019 Index Sites Survey,20,16,0,0,68
