H_key,Line,species,weight,estimated,num_caught,num_per_kg,year,month,day,set_num,stat_area,sub_area,start_lat_deg,start_lat_min,start_long_deg,start_long_min,min_depth,max_depth,depth_unit,soaktime
18386,2,4XE,0.620000005,FALSE,2,3,2002,7,2,34,11,5,51,9.762999535,127,28.13299942,24,31,M,14
18440,2,4XE,0.5,FALSE,1,2,2002,10,24,14,28,3,49,31.79000092,123,23.62999916,51,77,M,26
18450,3,4XE,1,FALSE,1,1,2002,10,25,24,28,1,49,24.26000023,123,29.76499939,65,75,M,15
18455,6,4XE,1,FALSE,1,1,2002,10,26,29,28,2,49,25.28000069,123,14.22999954,62,90,M,16
18457,1,4XE,2.900000095,FALSE,1,0,2002,10,27,31,28,1,49,24.94000053,123,19.60000038,50,65,M,31
18458,1,4XE,0.899999976,FALSE,1,1,2002,10,27,32,28,1,49,25.98999977,123,21.39999962,62,87,M,28
18459,1,4XE,0.800000012,FALSE,1,1,2002,10,27,33,28,1,49,26.38999939,123,22.59000015,75,93,M,26
18464,6,4XE,2.5,FALSE,,,2002,10,28,38,28,1,49,24.98999977,123,19.67000008,66,87,M,20
18470,3,4XE,0.600000024,FALSE,1,2,2002,10,29,44,28,1,49,24.20000076,123,23.60000038,65,80,M,20
18504,1,4XE,,FALSE,2,,2002,11,29,4,13,12,50,13.77000046,125,7.169000149,40,42,F,22
18505,1,4XE,,FALSE,14,,2002,11,29,5,13,12,50,13.94699955,125,7.414000034,40,50,F,21
18506,1,4XE,,FALSE,8,,2002,11,29,6,13,12,50,13.46399975,125,8.079000473,40,50,F,22
18508,1,4XE,,FALSE,1,,2002,11,30,2,13,13,50,7.592999935,125,10.24499989,52,68,F,18
18511,1,4XE,,FALSE,1,,2002,11,30,5,13,13,50,7.744999886,125,11.28100014,34,42,F,20
18512,1,4XE,,FALSE,2,,2002,11,30,6,13,13,50,7.369999886,125,12.42000008,36,38,F,20
18513,1,4XE,,FALSE,3,,2002,11,30,1,17,9,48,52.29999924,123,34.93000031,35,45,F,22
18514,1,4XE,,FALSE,4,,2002,11,30,2,17,9,48,51.72000122,123,33.70000076,35,45,F,24
18515,1,4XE,,FALSE,3,,2002,11,30,3,17,9,48,50.93999863,123,35.5,30,40,F,28
18516,1,4XE,,FALSE,5,,2002,11,30,4,17,9,48,51.24000168,123,33.97000122,35,45,F,26
16817,2,4XE,1.299999952,FALSE,1,1,2002,2,22,20,28,4,49,34.79999924,123,18.64999962,66,71,M,18
16823,2,4XE,0.800000012,FALSE,,,2002,2,24,35,28,3,49,31.90999985,123,23.51000023,51,68,M,22
16824,2,4XE,2,FALSE,5,2,2002,2,25,41,28,3,49,27.54999924,123,28.20000076,76,92,M,22
16825,2,4XE,1.700000048,FALSE,2,1,2002,2,25,42,28,1,49,24.11000061,123,29.86000061,68,77,M,15
16828,1,4XE,1.299999952,FALSE,,,2002,2,26,44,28,3,49,27.23999977,123,27.02000046,70,88,M,21
16832,2,4XE,2.599999905,FALSE,1,0,2002,2,23,27,28,2,49,28.87000084,123,14.90999985,58,78,M,23
16833,1,4XE,0.5,FALSE,,,2002,2,23,28,28,2,49,28.87000084,123,14.90999985,69,90,M,20
16834,1,4XE,2.200000048,FALSE,,,2002,2,23,29,28,2,49,25.42000008,123,14.90999985,68,75,M,18
16837,4,4XE,0.699999988,FALSE,,,2002,2,24,32,28,2,49,29.34000015,123,19.87000084,68,80,M,18
16838,3,4XE,1.799999952,FALSE,2,1,2002,2,24,33,28,2,49,30.98999977,123,21.04999924,69,80,M,18
16844,3,4XE,3.200000048,FALSE,2,1,2002,2,26,46,28,3,49,26.72999954,123,26.76000023,72,80,M,19
16489,4,4XE,0.699999988,FALSE,,,2001,10,31,2,28,2,49,20.62000084,123,18.72999954,74,89,M,17
16497,2,4XE,2.400000095,FALSE,,,2001,11,1,10,28,1,49,26.88999939,123,24.04999924,71,82,M,21
16498,6,4XE,5.5,FALSE,,,2001,11,1,11,28,3,49,26.97999954,123,26.71999931,47,56,M,20
16499,2,4XE,2.900000095,FALSE,,,2001,11,1,12,28,3,49,27.23999977,123,27.02000046,76,83,M,21
16502,2,4XE,1.399999976,FALSE,,,2001,11,2,15,28,2,49,32.04000092,123,19.72999954,71,90,M,20
16508,1,4XE,0.400000006,FALSE,,,2001,11,3,21,28,2,49,29.30999947,123,19.87000084,65,78,M,22
16509,1,4XE,0.800000012,FALSE,,,2001,11,3,22,28,2,49,27.32999992,123,18.80999947,66,90,M,21
16510,1,4XE,0.800000012,FALSE,,,2001,11,3,23,28,2,49,25.47999954,123,14.09000015,66,81,M,20
16522,2,4XE,1.200000048,FALSE,,,2001,11,5,35,28,3,49,27.62999916,123,28.72999954,73,82,M,18
16523,5,4XE,0.600000024,FALSE,,,2001,11,6,36,28,1,49,23.29999924,123,27.13999939,73,91,M,19
16525,5,4XE,2.299999952,FALSE,,,2001,11,6,38,28,1,49,24.63999939,123,26.45999908,68,74,M,18
16526,4,4XE,2.5,FALSE,,,2001,11,6,39,28,1,49,23.90999985,123,29.63999939,69,78,M,17
16806,2,4XE,2.900000095,FALSE,1,0,2002,2,20,8,28,2,49,24.87000084,123,18.45999908,68,81,M,22
15074,3,4XE,1.399999976,FALSE,,,2001,2,22,14,28,2,49,29.95999908,123,15.02000046,55,77,M,19
15081,6,4XE,2,FALSE,,,2001,2,24,21,28,3,49,27.31999969,123,27,60,75,M,20
15082,1,4XE,1.5,FALSE,,,2001,2,24,22,28,3,49,27.15999985,123,26.86000061,41,56,M,20
15084,3,4XE,0.5,FALSE,,,2001,2,24,24,28,1,49,23.89999962,123,25.73999977,60,78,M,23
15086,3,4XE,1,FALSE,,,2001,2,24,26,28,1,49,23.90999985,123,29.73999977,62,70,M,18
15087,4,4XE,1.5,FALSE,,,2001,2,25,27,28,1,49,23.20000076,123,27.37000084,70,89,M,18
15088,3,4XE,1.299999952,FALSE,,,2001,2,25,28,28,1,49,24.23999977,123,23.48999977,60,74,M,19
15091,3,4XE,0.800000012,FALSE,,,2001,2,25,31,28,1,49,24.95999908,123,19.60000038,76,81,M,20
15097,2,4XE,2,FALSE,,,2001,2,27,37,28,2,49,27.32999992,123,18.75,52,80,M,17
15098,2,4XE,2.099999905,FALSE,,,2001,2,27,38,28,2,49,29.07999992,123,19.62000084,68,80,M,17
14902,4,4XE,0.100000001,FALSE,1,10,2000,10,24,1,28,2,49,20.59000015,123,18.60000038,72,81,M,18
14923,1,4XE,0.800000012,FALSE,,,2000,10,28,22,28,3,49,31.88999939,123,23.60000038,60,73,M,31
14927,5,4XE,3.400000095,FALSE,,,2000,10,29,26,28,3,49,30.82999992,123,29.37000084,70,80,M,22
14928,4,4XE,0.300000012,FALSE,,,2000,10,29,27,28,3,49,29.52000046,123,28.25,65,70,M,20
14929,2,4XE,4.199999809,FALSE,,,2000,10,29,28,28,3,49,27.29999924,123,27,70,86,M,18
14930,1,4XE,1,FALSE,,,2000,10,29,29,28,3,49,27.09000015,123,26.79000092,50,57,M,17
14932,1,4XE,2,FALSE,,,2000,10,30,31,28,2,49,29.37000084,123,19.87000084,65,81,M,22
14936,3,4XE,1.399999976,FALSE,,,2000,10,30,35,28,2,49,25.40999985,123,14.10000038,68,78,M,18
14939,2,4XE,1.799999952,FALSE,,,2000,10,31,38,28,1,49,23.89999962,123,25.73999977,61,70,M,19
14942,1,4XE,0.600000024,FALSE,1,,2000,6,29,1,9,12,51,38.41999817,127,42.97999954,40,40,M,14
14944,1,4XE,1.5,FALSE,1,,2000,6,29,3,9,12,51,36.56999969,127,42.09999847,40,60,M,14
14945,2,4XE,0.699999988,FALSE,1,,2000,6,29,4,9,12,51,36.75,127,43.02999878,50,50,M,12
14946,2,4XE,0.800000012,FALSE,1,,2000,6,29,5,9,12,51,36.56999969,127,41.34000015,50,50,M,10
14951,1,4XE,1,FALSE,1,,2000,7,1,10,8,6,,,,,30,30,M,12
14954,1,4XE,1,FALSE,2,,2000,7,1,13,8,4,52,2.99000001,127,51.70000076,50,70,M,12
14955,1,4XE,5,FALSE,8,,2000,7,1,14,8,4,52,3.799999952,127,51.15000153,25,35,M,12
14956,1,4XE,11,FALSE,12,,2000,7,2,15,7,14,52,23.09000015,127,59.79999924,60,68,M,18
14957,1,4XE,2,FALSE,,,2000,7,2,16,7,14,52,24.95999908,127,59.68999863,50,80,M,18
14960,1,4XE,1.799999952,FALSE,4,,2000,7,3,19,6,20,53,0.600000024,128,30.69000053,50,60,M,12
14961,2,4XE,1.5,FALSE,,,2000,7,3,20,6,20,53,0.560000002,128,31.12000084,50,120,M,12
14967,3,4XE,0.200000003,FALSE,1,,2000,7,5,26,6,12,52,55.15999985,129,8.789999962,40,75,M,13
14968,1,4XE,7.5,FALSE,6,,2000,7,5,27,6,12,52,55.86000061,129,8.039999962,0,0,M,12
14970,1,4XE,2,FALSE,4,,2000,7,6,29,5,23,53,41.31999969,129,43.77999878,50,52,M,14
14971,1,4XE,3,FALSE,2,,2000,7,6,30,5,23,53,40.36999893,129,43.04000092,90,95,M,14
14975,1,4XE,3,FALSE,4,,2000,7,7,34,4,10,54,19.96999931,130,18.36000061,60,95,M,18
14976,1,4XE,0.5,FALSE,,,2000,7,7,35,4,10,54,20.29999924,130,16.55999947,60,72,M,17
14977,1,4XE,0.400000006,FALSE,1,,2000,7,8,36,2,83,53,31.20000076,132,45,50,70,M,11
14978,2,4XE,2,FALSE,2,,2000,7,9,37,2,83,53,30.02000046,132,45.43000031,40,70,M,10
14986,2,4XE,1.5,FALSE,2,1,2000,7,11,45,2,15,52,19.23999977,131,14.14999962,85,110,M,13
13788,2,4XE,1.799999952,FALSE,,,2000,2,23,7,28,2,49,29.48999977,123,19.69000053,69,99,M,22
13796,4,4XE,2.700000048,FALSE,,,2000,2,24,15,28,1,49,24.22999954,123,23.52000046,54,74,M,19
13807,4,4XE,3.900000095,FALSE,,,2000,2,27,26,28,3,49,32.38000107,123,26.46999931,50,74,M,20
13810,4,4XE,2.799999952,FALSE,,,2000,2,27,29,28,3,49,27.35000038,123,27,58,88,M,22
13811,2,4XE,1,FALSE,,,2000,2,27,30,28,3,49,27.15999985,123,26.88999939,40,60,M,22
13819,4,4XE,1.100000024,FALSE,,,2000,2,29,38,28,1,49,24.61000061,123,26.44000053,62,71,M,17
13820,3,4XE,2.400000095,FALSE,,,2000,2,29,39,28,1,49,23.84000015,123,29.72999954,60,71,M,16
1384,1,4TA,0,TRUE,1,,1979,6,7,5,12,27,,,,,32,41,F,20
1387,2,4TA,0,TRUE,1,,1979,6,7,8,12,27,,,,,40,50,F,19
1391,1,4TA,0,TRUE,1,,1979,6,8,12,12,40,,,,,15,17,F,20
1393,1,4TA,0,TRUE,1,,1979,6,8,14,12,40,,,,,32,40,F,18
1400,2,4TA,0,TRUE,1,,1979,6,10,21,12,40,,,,,40,46,F,16
1407,1,4TA,0,TRUE,1,,1979,6,11,28,12,35,,,,,39,48,F,21
1408,3,4TA,0,TRUE,1,,1979,6,11,29,12,35,,,,,11,17,F,19
1409,3,4TA,0,TRUE,5,,1979,6,11,30,12,35,,,,,14,18,F,18
1410,3,4TA,0,TRUE,1,,1979,6,11,31,12,35,,,,,30,35,F,18
1411,2,4TA,0,TRUE,1,,1979,6,12,32,12,37,,,,,40,55,F,22
1412,1,4TA,0,TRUE,1,,1979,6,12,33,12,37,,,,,40,51,F,21
1414,3,4TA,0,TRUE,2,,1979,6,12,35,12,37,,,,,14,19,F,22
1418,2,4TA,0,TRUE,2,,1979,6,13,39,12,36,,,,,40,52,F,16
1419,2,4TA,1.81400001,TRUE,,,1979,2,17,1,12,35,,,,,15,15,F,25
1422,2,4TA,0.100000001,TRUE,1,,1979,2,17,4,12,35,,,,,15,15,F,24
1427,4,4TA,0.100000001,TRUE,5,,1979,2,18,9,12,37,,,,,14,17,F,17
1428,1,4TA,0.100000001,TRUE,3,,1979,2,19,10,12,40,,,,,15,15,F,20
1437,3,4TA,0.100000001,TRUE,1,,1979,2,20,19,12,40,,,,,15,15,F,20
1443,2,4TA,0.100000001,TRUE,3,,1979,2,22,25,12,27,,,,,10,15,F,24
1445,2,4TA,0.100000001,TRUE,3,,1979,2,22,27,12,27,,,,,15,15,F,21
1448,2,4TA,0.100000001,TRUE,5,,1979,2,23,30,12,36,,,,,14,18,F,21
1450,3,4TA,0.100000001,TRUE,3,,1979,2,23,32,12,36,,,,,15,16,F,19
1460,4,4TA,0.100000001,TRUE,3,,1978,2,18,9,12,35,,,,,15,15,F,19
1462,3,4TA,0.100000001,TRUE,2,,1978,2,18,11,12,35,,,,,15,15,F,20
1463,3,4TA,0.100000001,TRUE,3,,1978,2,18,12,12,35,,,,,46,50,F,19
1464,3,4TA,0.100000001,TRUE,1,,1978,2,19,13,12,40,,,,,40,40,F,20
1465,3,4TA,0.100000001,TRUE,1,,1978,2,19,14,12,40,,,,,40,40,F,19
1477,3,4TA,0.100000001,TRUE,1,,1978,2,21,26,12,37,,,,,48,56,F,19
1479,6,4TA,2.267999887,TRUE,4,,1978,2,21,28,12,37,,,,,14,16,F,20
1480,4,4TA,0.100000001,TRUE,1,,1978,2,22,29,12,36,,,,,12,16,F,20
1492,4,4TA,7.257999897,TRUE,8,,1978,6,17,9,12,35,,,,,14,16,F,22
1494,4,4TA,6.349999905,TRUE,6,,1978,6,17,11,12,35,,,,,12,18,F,22
1496,2,4TA,7.257999897,TRUE,7,,1978,6,17,13,12,35,,,,,12,18,F,21
1499,3,4TA,0.100000001,TRUE,1,,1978,6,18,16,12,40,,,,,15,15,F,20
1504,3,4TA,0.100000001,TRUE,1,,1978,6,19,21,12,45,,,,,36,38,F,23
1512,2,4TA,0.100000001,TRUE,2,,1978,6,20,29,12,40,,,,,15,15,F,21
1516,2,4TA,0.100000001,TRUE,2,,1978,6,21,33,12,37,,,,,48,56,F,21
1518,6,4TA,4.535999775,TRUE,7,,1978,6,21,35,12,37,,,,,14,16,F,19
1526,3,4TA,0.100000001,TRUE,1,,1978,10,18,4,12,27,,,,,12,18,F,18
1531,3,4TA,0.100000001,TRUE,3,,1978,10,20,9,12,35,,,,,14,18,F,23
1535,5,4TA,0.100000001,TRUE,12,,1978,10,20,13,12,35,,,,,27,29,F,20
1536,1,4TA,0.100000001,TRUE,1,,1978,10,21,14,12,40,,,,,32,47,F,19
1542,4,4TA,0.100000001,TRUE,2,,1978,10,22,20,12,45,,,,,15,25,F,23
1546,3,4TA,0.100000001,TRUE,1,,1978,10,22,24,12,45,,,,,14,20,F,20
1550,3,4TA,0.100000001,TRUE,2,,1978,10,24,28,12,40,,,,,14,22,F,22
1031,1,4TA,3,TRUE,,,1980,10,19,167,6,25,,,,,50,50,F,21
1034,1,4TA,4,TRUE,,,1980,10,19,170,6,20,,,,,42,50,F,17
1035,3,4TA,3,TRUE,,,1980,10,20,171,6,20,,,,,50,30,F,23
1062,4,4TC,2,TRUE,,,1980,8,26,1,20,5,,,,,42,50,F,6
1068,3,4TC,18,TRUE,,,1980,9,17,7,23,7,,,,,55,45,F,23
1075,1,4TC,1,TRUE,,,1980,9,20,14,25,7,,,,,48,50,F,22
1076,3,4TA,2,TRUE,,,1980,9,20,15,25,7,,,,,50,59,F,20
1077,2,4TA,14,TRUE,,,1980,9,21,16,26,1,,,,,40,50,F,19
1078,2,4TA,12,TRUE,,,1980,9,21,17,26,1,,,,,55,55,F,19
1083,3,4TA,4,TRUE,,,1980,9,22,22,125,4,,,,,48,47,F,19
1084,4,4TA,10,TRUE,,,1980,9,22,23,125,4,,,,,52,55,F,20
1087,9,4TA,2,TRUE,,,1980,9,23,26,125,3,,,,,43,41,F,15
1088,1,4TA,12,TRUE,,,1980,9,23,27,125,4,,,,,52,52,F,6
1089,3,4TA,21,TRUE,,,1980,9,23,28,125,4,,,,,48,45,F,7
1090,2,4TA,0.100000001,TRUE,,,1980,9,23,29,125,4,,,,,52,52,F,8
1091,2,4TA,3,TRUE,,,1980,9,24,30,125,5,,,,,50,48,F,13
1092,2,4TA,12,TRUE,,,1980,9,24,31,125,5,,,,,47,41,F,14
1094,6,4TA,11,TRUE,,,1980,9,25,33,26,2,,,,,49,64,F,16
1095,4,4TA,0.100000001,TRUE,,,1980,9,25,34,26,2,,,,,63,50,F,16
1109,4,4TA,1,TRUE,,,1980,9,29,48,27,7,,,,,50,50,F,16
1110,3,4TA,8,TRUE,,,1980,9,29,49,27,7,,,,,72,52,F,16
1111,4,4TA,2,TRUE,,,1980,9,29,50,27,7,,,,,62,72,F,16
1112,2,4TA,0.100000001,TRUE,,,1980,10,21,51,126,2,,,,,70,75,F,21
1113,3,4TA,2.5,TRUE,,,1980,10,21,52,126,2,,,,,70,70,F,20
1114,10,4TA,0.100000001,TRUE,,,1980,10,21,53,126,2,,,,,63,59,F,21
1115,3,4TA,3,TRUE,,,1980,10,21,54,126,1,,,,,51,43,F,22
1118,2,4TA,8,TRUE,,,1980,10,22,57,126,2,,,,,62,49,F,22
1119,2,4TA,2,TRUE,,,1980,10,22,58,126,2,,,,,64,49,F,23
1120,2,4TA,9,TRUE,,,1980,10,23,59,27,2,,,,,75,62,F,18
1121,3,4TA,6,TRUE,,,1980,10,23,60,27,2,,,,,70,65,F,18
1122,4,4TA,3,TRUE,,,1980,10,23,61,27,2,,,,,70,65,F,18
1123,3,4TA,5,TRUE,,,1980,10,23,62,27,2,,,,,65,74,F,19
1127,8,4TA,0.100000001,TRUE,,,1980,10,26,66,126,2,,,,,65,61,F,18
1134,3,4TA,2,TRUE,,,1980,10,31,73,26,2,,,,,52,52,F,24
1136,1,4TA,0,TRUE,,,1977,9,8,4,28,1,,,,,12,16,F,23
1172,2,4XE,0,TRUE,,,1977,9,11,40,28,1,,,,,15,15,F,3
1226,1,4TA,0,TRUE,,,1977,9,7,1,28,2,,,,,10,15,F,13
1232,4,4TA,7,TRUE,,,1980,10,17,4,12,35,,,,,15,15,F,22
1234,4,4TA,8,TRUE,,,1980,10,17,6,12,35,,,,,15,15,F,20
1235,3,4TA,31,TRUE,,,1980,10,17,7,12,35,,,,,14,17,F,19
1236,2,4TA,9,TRUE,,,1980,10,17,8,12,35,,,,,30,35,F,19
1241,2,4TA,2,TRUE,,,1980,10,18,13,12,40,,,,,40,40,F,18
1245,2,4TA,1,TRUE,,,1980,10,19,17,12,45,,,,,15,16,F,20
1250,3,4TA,2,TRUE,,,1980,10,20,22,12,40,,,,,15,16,F,21
1252,2,4TA,1,TRUE,,,1980,10,20,24,12,40,,,,,15,15,F,21
1254,5,4TA,0.100000001,TRUE,,,1980,10,21,26,12,37,,,,,46,52,F,19
1255,1,4TA,2,TRUE,,,1980,10,21,27,12,37,,,,,42,48,F,19
1257,2,4TA,14,TRUE,,,1980,10,21,29,12,37,,,,,14,17,F,20
1258,5,4TA,8,TRUE,,,1980,10,22,30,12,36,,,,,14,18,F,22
1259,3,4TA,1,TRUE,,,1980,10,22,31,12,36,,,,,48,52,F,21
1260,1,4TA,5,TRUE,,,1980,10,22,32,12,36,,,,,15,18,F,22
1262,2,4TA,1,TRUE,,,1980,10,23,34,12,27,,,,,13,15,F,21
1275,3,4TA,3,TRUE,,,1980,7,4,9,12,35,,,,,15,15,F,20
1277,3,4TA,8,TRUE,,,1980,7,4,11,12,35,,,,,15,15,F,17
1286,2,4TA,4,TRUE,,,1980,7,6,20,12,45,,,,,15,16,F,22
1289,2,4TA,1,TRUE,,,1980,7,6,23,12,45,,,,,15,16,F,21
1293,1,4TA,2,TRUE,,,1980,7,7,27,12,40,,,,,34,36,F,22
1296,2,4TA,3,TRUE,,,1980,7,7,30,12,40,,,,,15,15,F,20
1298,5,4TA,11,TRUE,,,1980,7,8,32,12,36,,,,,14,18,F,18
1300,5,4TA,1,TRUE,,,1980,7,8,34,12,36,,,,,15,18,F,16
1303,4,4TA,6,TRUE,,,1980,7,9,37,12,37,,,,,14,17,F,18
1305,1,4TA,2,TRUE,,,1980,7,9,39,12,37,,,,,42,48,F,17
1306,5,4TA,6,TRUE,,,1980,2,6,1,12,35,,,,,14,17,F,20
1307,1,4TA,4,TRUE,,,1980,2,6,2,12,35,,,,,30,35,F,19
1308,2,4TA,4,TRUE,,,1980,2,6,3,12,35,,,,,15,15,F,18
1315,2,4TA,2,TRUE,,,1980,2,8,10,12,27,,,,,35,40,F,23
1319,1,4TA,0.100000001,TRUE,,,1980,2,9,14,12,40,,,,,15,15,F,20
1323,1,4TA,4,TRUE,,,1980,2,9,18,12,40,,,,,40,40,F,18
1324,1,4TA,0.100000001,TRUE,,,1980,2,9,19,12,40,,,,,30,37,F,17
1334,2,4TA,1,TRUE,,,1980,2,11,29,12,40,,,,,15,15,F,21
1336,2,4TA,1,TRUE,,,1980,2,11,31,12,40,,,,,35,40,F,21
1337,2,4TA,1,TRUE,,,1980,2,12,32,12,37,,,,,46,52,F,20
1340,2,4TA,4,TRUE,,,1980,2,12,35,12,37,,,,,14,17,F,20
1344,3,4TA,2,TRUE,,,1980,2,13,39,12,36,,,,,42,47,F,20
1345,1,4TA,0.100000001,TRUE,3,,1979,10,18,1,12,27,,,,,14,18,F,18
1346,3,4TA,0.100000001,TRUE,2,,1979,10,18,2,12,27,,,,,38,42,F,19
1348,3,4TA,0.100000001,TRUE,3,,1979,10,18,4,12,27,,,,,12,18,F,19
1352,2,4TA,0.100000001,TRUE,3,,1979,10,19,8,12,35,,,,,14,17,F,18
1353,2,4TA,4.535999775,TRUE,17,,1979,10,19,9,12,35,,,,,14,17,F,17
1354,3,4TA,0.100000001,TRUE,1,,1979,10,19,10,12,35,,,,,30,32,F,17
1356,4,4TA,0.100000001,TRUE,2,,1979,10,20,12,12,40,,,,,12,16,F,21
1359,2,4TA,0.100000001,TRUE,1,,1979,10,20,15,12,40,,,,,30,48,F,19
1361,2,4TA,0.100000001,TRUE,2,,1979,10,21,17,12,45,,,,,15,20,F,20
1368,3,4TA,0.100000001,TRUE,1,,1979,10,22,24,12,40,,,,,14,18,F,21
1372,2,4TA,0.100000001,TRUE,1,,1979,10,23,28,12,37,,,,,46,52,F,19
1374,2,4TA,0.100000001,TRUE,2,,1979,10,23,30,12,37,,,,,37,40,F,19
1375,3,4TA,0,TRUE,9,,1979,10,23,31,12,37,,,,,14,17,F,19
1376,2,4TA,0.100000001,TRUE,2,,1979,10,24,32,12,36,,,,,14,18,F,20
1378,3,4TA,0.100000001,TRUE,1,,1979,10,24,34,12,36,,,,,14,18,F,20
1381,4,4TA,0.100000001,TRUE,,,1979,6,6,2,12,28,,,,,34,36,F,17
1383,3,4TA,0,TRUE,1,,1979,6,7,4,12,27,,,,,15,16,F,20
2474,2,4TA,0,TRUE,,,1973,11,16,9,12,35,,,,,46,52,F,4
2476,2,4TA,0,TRUE,,,1973,11,17,11,12,35,,,,,12,14,F,17
2491,2,4TA,0,TRUE,,,1973,11,21,26,12,40,,,,,12,14,F,18
450,4,4TC,2,TRUE,,,1982,10,21,1,12,28,,,,,15,15,F,16
455,1,4TC,1,TRUE,,,1982,10,22,6,12,36,,,,,15,15,F,20
465,2,4TC,1.399999976,TRUE,,,1982,10,24,16,12,40,,,,,35,40,F,19
495,2,4TC,0.100000001,TRUE,,,1981,1,10,13,12,40,,,,,40,40,F,19
500,4,4TC,1,TRUE,,,1981,1,11,18,12,45,,,,,15,16,F,20
507,1,4TC,1,TRUE,,,1981,1,12,25,12,40,,,,,15,15,F,21
509,3,4TC,1,TRUE,,,1981,1,13,27,12,37,,,,,46,52,F,19
510,1,4TC,3,TRUE,,,1981,1,13,28,12,37,,,,,42,48,F,18
511,2,4TC,0.100000001,TRUE,,,1981,1,13,29,12,37,,,,,37,40,F,19
512,4,4TC,6,TRUE,,,1981,1,13,30,12,37,,,,,14,17,F,19
513,3,4TC,3,TRUE,,,1981,1,14,31,12,35,,,,,15,15,F,23
514,1,4TC,1,TRUE,,,1981,1,14,32,12,35,,,,,46,50,F,23
516,2,4TC,19,TRUE,,,1981,1,14,34,12,35,,,,,14,17,F,20
518,4,4TC,2,TRUE,,,1981,1,15,36,12,36,,,,,14,18,F,21
520,2,4TC,1,TRUE,,,1981,1,15,38,12,36,,,,,15,18,F,20
522,3,4TC,1,TRUE,,,1981,7,8,1,12,28,,,,,12,17,F,14
523,5,4TC,2,TRUE,,,1981,7,8,2,12,28,,,,,30,35,F,13
525,2,4TC,6,TRUE,,,1981,7,9,4,12,37,,,,,14,16,F,21
526,3,4TC,2,TRUE,,,1981,7,9,5,12,37,,,,,36,40,F,20
527,3,4TC,2,TRUE,,,1981,7,9,6,12,37,,,,,42,48,F,20
528,3,4TC,1,TRUE,,,1981,7,9,7,12,37,,,,,45,52,F,20
532,3,4TC,1,TRUE,,,1981,7,10,11,12,36,,,,,42,47,F,20
533,3,4TC,5,TRUE,,,1981,7,11,12,12,27,,,,,13,15,F,22
534,1,4TC,2,TRUE,,,1981,7,11,13,12,27,,,,,35,40,F,22
538,2,4TC,17,TRUE,,,1981,7,12,17,12,35,,,,,14,17,F,23
539,2,4TC,2,TRUE,,,1981,7,12,18,12,35,,,,,30,33,F,22
540,3,4TC,11,TRUE,,,1981,7,12,19,12,35,,,,,15,17,F,21
548,1,4TC,0.100000001,TRUE,,,1981,7,13,27,12,40,,,,,30,37,F,18
552,3,4TC,0.100000001,TRUE,,,1981,7,14,31,12,45,,,,,15,16,F,21
553,1,4TC,0.100000001,TRUE,,,1981,7,14,32,12,45,,,,,35,37,F,18
557,2,4TC,2,TRUE,,,1981,7,15,36,12,40,,,,,36,36,F,18
559,1,4TC,1,TRUE,,,1981,7,15,38,12,40,,,,,15,15,F,18
564,6,4TC,6,TRUE,,,1981,10,6,4,12,27,,,,,13,15,F,149
565,2,4TC,2,TRUE,,,1981,10,6,5,12,27,,,,,35,40,F,149
569,4,4TC,7,TRUE,,,1981,10,7,9,12,36,,,,,14,18,F,14
945,2,4TA,0,TRUE,1,,1980,9,15,81,6,20,,,,,30,28,F,21
951,2,4TA,2,TRUE,,,1980,9,16,87,6,20,,,,,20,18,F,18
958,6,4TA,1.5,TRUE,,,1980,9,17,94,6,20,,,,,50,35,F,23
960,7,4TA,2,TRUE,,,1980,9,17,96,6,20,,,,,40,40,F,22
969,6,4TA,8,TRUE,,,1980,9,19,105,6,20,,,,,30,25,F,22
986,3,4TA,5,TRUE,,,1980,9,21,122,6,20,,,,,40,40,F,18
1891,2,4TA,0.100000001,TRUE,1,,1975,11,12,16,12,28,,,,,50,50,F,21
